id,anio,mes_i,nom_indicador,tipo,periodicidad,clave,nombre_unidad,numerador,denominador,indicador,digito_equivalencia
367720,2014,3,DM 08,OOAD,Mensual anualizado,14,Jalisco,129.78,131.15,1.1,10
368090,2014,3,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,133.04,103.76,-22,10
368976,2014,4,DM 08,OOAD,Mensual anualizado,00,Nacional,149.43,149.53,0.1,10
368989,2014,4,DM 08,OOAD,Mensual anualizado,14,Jalisco,130.89,130.46,-0.3,10
369359,2014,4,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,142.72,92.23,-35.4,10
370245,2014,5,DM 08,OOAD,Mensual anualizado,00,Nacional,150.22,149.2,-0.7,10
370258,2014,5,DM 08,OOAD,Mensual anualizado,14,Jalisco,132.43,130.58,-1.4,10
370628,2014,5,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,145.14,89.93,-38,10
371514,2014,6,DM 08,OOAD,Mensual anualizado,00,Nacional,150.52,149.95,-0.4,10
371527,2014,6,DM 08,OOAD,Mensual anualizado,14,Jalisco,133.03,131.47,-1.2,10
371897,2014,6,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,140.3,85.32,-39.2,10
372783,2014,7,DM 08,OOAD,Mensual anualizado,00,Nacional,151.6,149.8,-1.2,10
372796,2014,7,DM 08,OOAD,Mensual anualizado,14,Jalisco,134.01,131.84,-1.6,10
373166,2014,7,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,108.85,126.82,16.5,10
374052,2014,8,DM 08,OOAD,Mensual anualizado,00,Nacional,151.81,149.54,-1.5,10
374065,2014,8,DM 08,OOAD,Mensual anualizado,14,Jalisco,135.21,130.99,-3.1,10
374435,2014,8,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,145.14,87.62,-39.6,10
375321,2014,9,DM 08,OOAD,Mensual anualizado,00,Nacional,152.25,149.39,-1.9,10
375334,2014,9,DM 08,OOAD,Mensual anualizado,14,Jalisco,136.66,131.31,-3.9,10
375704,2014,9,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,149.98,85.32,-43.1,10
376590,2014,10,DM 08,OOAD,Mensual anualizado,00,Nacional,152.62,149.44,-2.1,10
376603,2014,10,DM 08,OOAD,Mensual anualizado,14,Jalisco,136.02,132.29,-2.7,10
376973,2014,10,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,147.56,83.01,-43.7,10
377859,2014,11,DM 08,OOAD,Mensual anualizado,00,Nacional,153.03,149.4,-2.4,10
377872,2014,11,DM 08,OOAD,Mensual anualizado,14,Jalisco,135.85,132.29,-2.6,10
378242,2014,11,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,137.88,80.7,-41.5,10
379128,2014,12,DM 08,OOAD,Mensual anualizado,00,Nacional,147.54,144.48,-2.1,10
379141,2014,12,DM 08,OOAD,Mensual anualizado,14,Jalisco,129.68,128.81,-0.7,10
379511,2014,12,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,124.52,74.46,-40.2,10
380397,2014,3,DM 09,OOAD,Trimestral acumulado,00,Nacional,819,16342436,0.05,9
380410,2014,3,DM 09,OOAD,Trimestral acumulado,14,Jalisco,52,1303563,0.04,9
380781,2014,3,DM 09,Unidad,Trimestral acumulado,141201252110,UMF  168 TEPATITLAN,3,22730,0.13,9
381668,2014,6,DM 09,OOAD,Trimestral acumulado,00,Nacional,1889,16452005,0.11,9
381681,2014,6,DM 09,OOAD,Trimestral acumulado,14,Jalisco,125,1308541,0.1,9
382052,2014,6,DM 09,Unidad,Trimestral acumulado,141201252110,UMF  168 TEPATITLAN,5,22946,0.22,9
382939,2014,9,DM 09,OOAD,Trimestral acumulado,00,Nacional,2984,16559148,0.18,9
382952,2014,9,DM 09,OOAD,Trimestral acumulado,14,Jalisco,185,1313788,0.14,9
383323,2014,9,DM 09,Unidad,Trimestral acumulado,141201252110,UMF  168 TEPATITLAN,7,23228,0.3,9
384210,2014,12,DM 09,OOAD,Trimestral acumulado,00,Nacional,4089,16675539,0.25,9
384223,2014,12,DM 09,OOAD,Trimestral acumulado,14,Jalisco,256,1322621,0.19,9
384594,2014,12,DM 09,Unidad,Trimestral acumulado,141201252110,UMF  168 TEPATITLAN,8,23522,0.34,9
385481,2014,12,DM 10,OOAD,Anual,00,Nacional,980461,3395389,28.9,6
385494,2014,12,DM 10,OOAD,Anual,14,Jalisco,51058,231166,22.1,6
385864,2014,12,DM 10,Unidad,Anual,141201252110,UMF  168 TEPATITLAN,965,4062,23.8,6
386750,2014,3,DM 11,OOAD,Trimestral,00,Nacional,67,89,75.3,11
386763,2014,3,DM 11,OOAD,Trimestral,14,Jalisco,0,0,0,11
387148,2014,3,DM 11,Unidad,Trimestral,141201252110,UMF  168 TEPATITLAN,0,0,0,11
388088,2014,6,DM 11,OOAD,Trimestral,00,Nacional,257,333,77.2,11
388101,2014,6,DM 11,OOAD,Trimestral,14,Jalisco,2,2,100,11
388486,2014,6,DM 11,Unidad,Trimestral,141201252110,UMF  168 TEPATITLAN,0,0,0,11
389426,2014,9,DM 11,OOAD,Trimestral,00,Nacional,436,674,64.7,11
389439,2014,9,DM 11,OOAD,Trimestral,14,Jalisco,10,31,32.3,11
389824,2014,9,DM 11,Unidad,Trimestral,141201252110,UMF  168 TEPATITLAN,0,0,0,11
390764,2014,12,DM 11,OOAD,Trimestral,00,Nacional,377,606,62.2,11
390777,2014,12,DM 11,OOAD,Trimestral,14,Jalisco,26,35,74.3,11
