Parametro,Fuente,Anio,Mes,Cve_OOAD,Nombre_OOAD,Cve_Presupuestal,Nombre_Unidad,Sexo,Grupo_edad,Poblacion
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,05 a 09,7021
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,10 a 14,7201
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,15 a 19,4063
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,20 a 24,4987
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,25 a 29,5943
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,30 a 34,6266
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,35 a 39,5580
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,40 a 44,5155
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,45 a 49,4741
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,50 a 54,3973
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,55 a 59,3183
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,60 a 64,2752
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,65 a 69,2188
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,70 a 74,1804
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,75 a 79,1345
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,80 a 84,934
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,85 y mas,1255
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,NI,27
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,00 a 04,3221
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,05 a 09,3599
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,10 a 14,3704
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,15 a 19,1921
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,20 a 24,2343
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,25 a 29,2757
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,30 a 34,2985
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,35 a 39,2646
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,40 a 44,2460
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,45 a 49,2239
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,50 a 54,1845
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,55 a 59,1447
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,60 a 64,1278
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,65 a 69,1014
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,70 a 74,814
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,75 a 79,586
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,80 a 84,418
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,85 y mas,568
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,NI,13
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,00 a 04,3068
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,05 a 09,3422
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,10 a 14,3497
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,15 a 19,2142
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,20 a 24,2644
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,25 a 29,3186
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,30 a 34,3281
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,35 a 39,2934
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,40 a 44,2695
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,45 a 49,2502
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,50 a 54,2128
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,55 a 59,1736
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,60 a 64,1474
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,65 a 69,1174
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,70 a 74,990
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,75 a 79,759
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,80 a 84,516
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,85 y mas,687
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,NI,14
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,00 a 04,6491
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,05 a 09,7167
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,10 a 14,7408
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,15 a 19,4070
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,20 a 24,5459
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,25 a 29,6233
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,30 a 34,6420
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,35 a 39,5834
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,40 a 44,5274
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,45 a 49,5079
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,50 a 54,4202
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,55 a 59,3479
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,60 a 64,2891
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,65 a 69,2295
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,70 a 74,1877
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,75 a 79,1416
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,80 a 84,996
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,85 y mas,1318
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,NI,39
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,00 a 04,3302
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,05 a 09,3700
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,10 a 14,3778
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,15 a 19,1908
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,20 a 24,2500
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,25 a 29,2854
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,30 a 34,3042
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,35 a 39,2743
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,40 a 44,2512
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,45 a 49,2397
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,50 a 54,1959
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,55 a 59,1586
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,60 a 64,1334
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,65 a 69,1074
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,70 a 74,843
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,75 a 79,604
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,80 a 84,444
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,85 y mas,599
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,NI,20
PAMF,DIR,2018,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,00 a 04,3189
